[6, 34, 44, 26, 28, 50, 47, 50, 10, 0, 1, 22, 21, 44, 23, 18, 10, 45, 15, 11, 0, 15, 33, 3, 17, 51, 17, 34, 28, 18, 28, 34, 29, 50, 37, 8, 50, 0, 51, 15, 28, 30, 30, 10, 14, 28, 24, 45, 47, 45, 17, 22, 33, 45, 47, 37, 52, 49, 55, 18, 51, 53, 4, 1, 53, 53, 17, 22, 41, 1, 6, 46, 23, 42, 43, 46, 55, 9, 54, 54, 34, 15, 45, 43, 49, 28, 30, 49, 48, 52, 49, 40, 54, 3, 39, 5, 53, 34, 10, 37, 50, 54, 29, 54, 54, 49, 2, 51, 25, 49, 18, 46, 13, 0, 33, 1, 39, 42, 36, 44, 3, 18, 3, 2, 11, 23, 19, 11, 11, 25, 0, 10, 3, 30, 5, 4, 17, 35, 12, 13, 8, 4, 32, 32, 30, 46, 4, 6, 36, 45, 1, 9, 23, 50, 15, 53, 6, 19, 2, 33, 54, 21, 4, 1, 4, 25, 5, 48, 2, 30, 1, 21, 21, 7, 40, 35, 16, 43, 13, 21, 31, 0, 29, 35, 35, 31, 54, 11, 26, 33, 17, 21, 7, 42, 7, 33, 13, 3, 24, 14, 17, 30, 26, 41, 19, 31, 19, 53, 19, 48, 55, 12, 51, 4, 10, 0, 7, 19, 52, 16, 48, 1, 26, 44, 5, 34, 25, 29, 34, 23, 31, 48, 4, 2, 55, 22, 31, 31, 15, 31, 5, 52, 35, 12, 5, 17, 8, 0, 46, 5, 5, 31, 14, 29, 32, 41, 29, 5, 29, 18, 7, 37, 32, 52, 5, 52, 41, 32, 54, 29, 35, 13, 44, 10, 30, 33, 5, 5, 13, 6, 32, 32, 11, 19, 36, 25, 18, 18, 32, 7, 4, 24, 16, 11, 22, 21, 16, 26, 3, 52, 20, 20, 7, 2, 55, 7, 48, 49, 25, 37, 48, 7, 53, 13, 14, 37, 6, 37, 7, 41, 40, 51, 16, 6, 36, 16, 24, 55, 26, 22, 52, 7, 39, 33, 51, 33, 34, 6, 9, 27, 21, 0, 36, 39, 22, 7, 16, 1, 9, 55, 20, 5, 24, 27, 23, 7, 19, 18, 16, 20, 27, 4, 7, 20, 4, 7, 31, 5, 0, 5, 4, 4, 9, 2, 32, 2, 3, 5, 20, 6, 2, 20, 5, 4, 2, 7, 6, 3, 12, 44, 3, 7, 24, 53, 16, 55, 21, 27, 4, 26, 6, 4, 4, 5, 16, 34, 6, 23, 1, 20, 6, 7, 6, 20, 35, 55, 26, 23, 45, 20, 36, 24, 6, 27, 4, 20, 27, 27, 17, 22, 6, 30, 12, 9, 21, 50, 17, 40, 27, 8, 12, 55, 15, 36, 36, 23, 21, 6, 12, 19, 22, 6, 38, 25, 38, 28, 14, 43, 47, 47, 8, 28, 40, 42, 38, 9, 35, 14, 54, 14, 38, 8, 8, 44, 37, 35]
4141
Iteration 1/333, Best C_max: 4733, Current Iteration Best: 4733, counter: 1, critical: True
Iteration 2/333, Best C_max: 4733, Current Iteration Best: 5340, counter: 2, critical: True
Iteration 3/333, Best C_max: 4733, Current Iteration Best: 4740, counter: 3, critical: True
Iteration 4/333, Best C_max: 4733, Current Iteration Best: 5313, counter: 4, critical: True
Iteration 5/333, Best C_max: 4722, Current Iteration Best: 4722, counter: 1, critical: True
Iteration 6/333, Best C_max: 4722, Current Iteration Best: 5284, counter: 2, critical: True
Iteration 7/333, Best C_max: 4688, Current Iteration Best: 4688, counter: 1, critical: True
Iteration 8/333, Best C_max: 4688, Current Iteration Best: 5330, counter: 2, critical: True
Iteration 9/333, Best C_max: 4688, Current Iteration Best: 4800, counter: 3, critical: True
Iteration 10/333, Best C_max: 4688, Current Iteration Best: 5266, counter: 4, critical: True
Iteration 11/333, Best C_max: 4688, Current Iteration Best: 4768, counter: 5, critical: True
Iteration 12/333, Best C_max: 4688, Current Iteration Best: 5316, counter: 6, critical: True
Iteration 13/333, Best C_max: 4688, Current Iteration Best: 4751, counter: 7, critical: True
Iteration 14/333, Best C_max: 4688, Current Iteration Best: 5224, counter: 8, critical: True
Iteration 15/333, Best C_max: 4688, Current Iteration Best: 4788, counter: 9, critical: True
Iteration 16/333, Best C_max: 4688, Current Iteration Best: 5329, counter: 10, critical: True
Iteration 17/333, Best C_max: 4688, Current Iteration Best: 4760, counter: 1, critical: False
Iteration 18/333, Best C_max: 4431, Current Iteration Best: 4431, counter: 1, critical: False
Iteration 19/333, Best C_max: 4431, Current Iteration Best: 4549, counter: 2, critical: False
Iteration 20/333, Best C_max: 4431, Current Iteration Best: 4790, counter: 3, critical: False
Iteration 21/333, Best C_max: 4431, Current Iteration Best: 4594, counter: 4, critical: False
Iteration 22/333, Best C_max: 4431, Current Iteration Best: 4741, counter: 5, critical: False
Iteration 23/333, Best C_max: 4431, Current Iteration Best: 4660, counter: 6, critical: False
Iteration 24/333, Best C_max: 4377, Current Iteration Best: 4377, counter: 1, critical: False
Iteration 25/333, Best C_max: 4377, Current Iteration Best: 4435, counter: 2, critical: False
Iteration 26/333, Best C_max: 4377, Current Iteration Best: 4640, counter: 3, critical: False
Iteration 27/333, Best C_max: 4377, Current Iteration Best: 4796, counter: 4, critical: False
Iteration 28/333, Best C_max: 4377, Current Iteration Best: 4594, counter: 5, critical: False
Iteration 29/333, Best C_max: 4377, Current Iteration Best: 4472, counter: 6, critical: False
Iteration 30/333, Best C_max: 4377, Current Iteration Best: 4472, counter: 7, critical: False
Iteration 31/333, Best C_max: 4377, Current Iteration Best: 4517, counter: 8, critical: False
Iteration 32/333, Best C_max: 4377, Current Iteration Best: 4475, counter: 9, critical: False
Iteration 33/333, Best C_max: 4377, Current Iteration Best: 4589, counter: 10, critical: False
Iteration 34/333, Best C_max: 4377, Current Iteration Best: 4515, counter: 1, critical: True
Iteration 35/333, Best C_max: 4377, Current Iteration Best: 5141, counter: 2, critical: True
Iteration 36/333, Best C_max: 4377, Current Iteration Best: 4507, counter: 3, critical: True
Iteration 37/333, Best C_max: 4377, Current Iteration Best: 5008, counter: 4, critical: True
Iteration 38/333, Best C_max: 4377, Current Iteration Best: 4595, counter: 5, critical: True
Iteration 39/333, Best C_max: 4377, Current Iteration Best: 5044, counter: 6, critical: True
Iteration 40/333, Best C_max: 4377, Current Iteration Best: 4465, counter: 7, critical: True
Iteration 41/333, Best C_max: 4377, Current Iteration Best: 5213, counter: 8, critical: True
Iteration 42/333, Best C_max: 4377, Current Iteration Best: 4549, counter: 9, critical: True
Iteration 43/333, Best C_max: 4377, Current Iteration Best: 5121, counter: 10, critical: True
Iteration 44/333, Best C_max: 4377, Current Iteration Best: 4481, counter: 1, critical: False
Iteration 45/333, Best C_max: 4377, Current Iteration Best: 4614, counter: 2, critical: False
Iteration 46/333, Best C_max: 4377, Current Iteration Best: 4679, counter: 3, critical: False
Iteration 47/333, Best C_max: 4377, Current Iteration Best: 4490, counter: 4, critical: False
Iteration 48/333, Best C_max: 4377, Current Iteration Best: 4553, counter: 5, critical: False
Iteration 49/333, Best C_max: 4377, Current Iteration Best: 4559, counter: 6, critical: False
Iteration 50/333, Best C_max: 4377, Current Iteration Best: 4469, counter: 7, critical: False
Iteration 51/333, Best C_max: 4377, Current Iteration Best: 4548, counter: 8, critical: False
Iteration 52/333, Best C_max: 4377, Current Iteration Best: 4441, counter: 9, critical: False
Iteration 53/333, Best C_max: 4377, Current Iteration Best: 4423, counter: 10, critical: False
Iteration 54/333, Best C_max: 4377, Current Iteration Best: 4385, counter: 1, critical: True
Iteration 55/333, Best C_max: 4377, Current Iteration Best: 5060, counter: 2, critical: True
Iteration 56/333, Best C_max: 4377, Current Iteration Best: 4460, counter: 3, critical: True
Iteration 57/333, Best C_max: 4377, Current Iteration Best: 5026, counter: 4, critical: True
Iteration 58/333, Best C_max: 4377, Current Iteration Best: 4512, counter: 5, critical: True
