[ 0  9  6 13 12  5  1  3 11  4  2  8 10 14  7  5 12  9  1  8  7 13 11  6
 14  4 10  3  0  2  2 11 12  3  4  5  6  7 10 14  1  8  0 13  9  0  8  6
  7 14  4 10 13  5 11  1 12  9  2  3  6  8  9  4  5  7 12  1 11  3 13  2
 14 10  0  6 14 12  0 13  7  1  4  8 11  2  5  3 10  9 12 11  7  0  4  3
 10 14  1  5 13  6  8  9  2 14  8 13  9 11 12 10  7  0  1  4  3  5  2  6
  5  6 12 14  8  9  2  3  7  0 11  1 13 10  4  1 10  4 12 14  3  2  9 11
 13  7  6  0  8  5  2  1  7 14  6  3 10  0 12  8 11 13  9  5  4 14  1 13
 12  2  0 11  7  3  9 10  6  8  4  5 10 13  8  0  9  5 14  1 12  2  6  7
  4  3 11  1 10  6  4  3  9  2 13 11  7  8 14 12  5  0  7  5  8  6 13  1
  9  4  2 12 10 11  3  0 14]
1559
Iteration 1/100, Best C_max: 1611, Current Iteration Best: 1622, counter: 2, critical: True
Iteration 2/100, Best C_max: 1567, Current Iteration Best: 1567, counter: 1, critical: True
Iteration 3/100, Best C_max: 1567, Current Iteration Best: 1590, counter: 2, critical: True
Iteration 4/100, Best C_max: 1561, Current Iteration Best: 1561, counter: 1, critical: True
Iteration 5/100, Best C_max: 1561, Current Iteration Best: 1585, counter: 2, critical: True
Iteration 6/100, Best C_max: 1561, Current Iteration Best: 1590, counter: 3, critical: True
Iteration 7/100, Best C_max: 1561, Current Iteration Best: 1576, counter: 4, critical: True
Iteration 8/100, Best C_max: 1561, Current Iteration Best: 1571, counter: 5, critical: True
Iteration 9/100, Best C_max: 1561, Current Iteration Best: 1591, counter: 6, critical: True
Iteration 10/100, Best C_max: 1561, Current Iteration Best: 1610, counter: 7, critical: True
Iteration 11/100, Best C_max: 1561, Current Iteration Best: 1590, counter: 8, critical: True
Iteration 12/100, Best C_max: 1561, Current Iteration Best: 1563, counter: 9, critical: True
Iteration 13/100, Best C_max: 1561, Current Iteration Best: 1607, counter: 10, critical: True
Iteration 14/100, Best C_max: 1559, Current Iteration Best: 1559, counter: 1, critical: True
Iteration 15/100, Best C_max: 1559, Current Iteration Best: 1600, counter: 2, critical: True
Iteration 16/100, Best C_max: 1559, Current Iteration Best: 1624, counter: 3, critical: True
Iteration 17/100, Best C_max: 1559, Current Iteration Best: 1594, counter: 4, critical: True
Iteration 18/100, Best C_max: 1559, Current Iteration Best: 1578, counter: 5, critical: True
Iteration 19/100, Best C_max: 1559, Current Iteration Best: 1594, counter: 6, critical: True
Iteration 20/100, Best C_max: 1559, Current Iteration Best: 1613, counter: 7, critical: True
Iteration 21/100, Best C_max: 1559, Current Iteration Best: 1579, counter: 8, critical: True
Iteration 22/100, Best C_max: 1559, Current Iteration Best: 1615, counter: 9, critical: True
Iteration 23/100, Best C_max: 1559, Current Iteration Best: 1594, counter: 10, critical: True
Iteration 24/100, Best C_max: 1559, Current Iteration Best: 1592, counter: 1, critical: False
Iteration 25/100, Best C_max: 1559, Current Iteration Best: 1836, counter: 2, critical: False
Iteration 26/100, Best C_max: 1559, Current Iteration Best: 1778, counter: 3, critical: False
