[5, 11, 13, 14, 7, 8, 4, 9, 10, 1, 0, 2, 3, 6, 12, 2, 10, 9, 8, 11, 13, 4, 3, 6, 5, 12, 14, 0, 1, 7, 10, 2, 6, 12, 5, 3, 9, 13, 1, 14, 4, 8, 11, 7, 0, 8, 5, 14, 9, 4, 7, 6, 2, 0, 13, 11, 12, 10, 1, 3, 8, 7, 1, 12, 0, 3, 5, 9, 13, 4, 10, 2, 14, 6, 11, 12, 5, 13, 0, 1, 6, 9, 7, 3, 4, 8, 2, 10, 14, 11, 7, 13, 11, 8, 10, 12, 9, 6, 4, 1, 3, 2, 14, 0, 5, 11, 9, 4, 6, 12, 2, 1, 7, 8, 5, 14, 13, 10, 0, 3, 12, 6, 14, 3, 0, 11, 9, 8, 5, 2, 1, 7, 13, 10, 4, 2, 9, 3, 11, 10, 1, 8, 13, 4, 12, 6, 5, 0, 7, 14, 9, 1, 6, 7, 10, 12, 11, 13, 2, 14, 8, 4, 3, 0, 5, 12, 1, 0, 6, 3, 8, 11, 2, 10, 13, 7, 14, 9, 5, 4, 6, 5, 13, 14, 0, 1, 4, 11, 3, 12, 9, 2, 10, 8, 7, 13, 14, 12, 4, 3, 6, 7, 5, 8, 2, 9, 1, 10, 0, 11, 2, 3, 0, 14, 6, 5, 12, 13, 7, 8, 9, 10, 11, 4, 1]
1537
Iteration 1/100, Best C_max: 1595, Current Iteration Best: 1641, counter: 2, critical: True
Iteration 2/100, Best C_max: 1595, Current Iteration Best: 1614, counter: 3, critical: True
Iteration 3/100, Best C_max: 1560, Current Iteration Best: 1560, counter: 1, critical: True
Iteration 4/100, Best C_max: 1560, Current Iteration Best: 1642, counter: 2, critical: True
Iteration 5/100, Best C_max: 1560, Current Iteration Best: 1604, counter: 3, critical: True
Iteration 6/100, Best C_max: 1560, Current Iteration Best: 1591, counter: 4, critical: True
Iteration 7/100, Best C_max: 1560, Current Iteration Best: 1620, counter: 5, critical: True
Iteration 8/100, Best C_max: 1560, Current Iteration Best: 1586, counter: 6, critical: True
Iteration 9/100, Best C_max: 1560, Current Iteration Best: 1589, counter: 7, critical: True
Iteration 10/100, Best C_max: 1560, Current Iteration Best: 1575, counter: 8, critical: True
Iteration 11/100, Best C_max: 1560, Current Iteration Best: 1625, counter: 9, critical: True
Iteration 12/100, Best C_max: 1560, Current Iteration Best: 1604, counter: 10, critical: True
Iteration 13/100, Best C_max: 1560, Current Iteration Best: 1618, counter: 1, critical: False
Iteration 14/100, Best C_max: 1560, Current Iteration Best: 2048, counter: 2, critical: False
Iteration 15/100, Best C_max: 1560, Current Iteration Best: 1979, counter: 3, critical: False
Iteration 16/100, Best C_max: 1560, Current Iteration Best: 1837, counter: 4, critical: False
Iteration 17/100, Best C_max: 1560, Current Iteration Best: 2247, counter: 5, critical: False
Iteration 18/100, Best C_max: 1560, Current Iteration Best: 1935, counter: 6, critical: False
Iteration 19/100, Best C_max: 1560, Current Iteration Best: 1818, counter: 7, critical: False
Iteration 20/100, Best C_max: 1560, Current Iteration Best: 1847, counter: 8, critical: False
Iteration 21/100, Best C_max: 1560, Current Iteration Best: 1594, counter: 9, critical: False
Iteration 22/100, Best C_max: 1560, Current Iteration Best: 1714, counter: 10, critical: False
Iteration 23/100, Best C_max: 1560, Current Iteration Best: 1722, counter: 1, critical: True
Iteration 24/100, Best C_max: 1560, Current Iteration Best: 1816, counter: 2, critical: True
Iteration 25/100, Best C_max: 1560, Current Iteration Best: 1801, counter: 3, critical: True
Iteration 26/100, Best C_max: 1560, Current Iteration Best: 1827, counter: 4, critical: True
Iteration 27/100, Best C_max: 1560, Current Iteration Best: 1814, counter: 5, critical: True
Iteration 28/100, Best C_max: 1560, Current Iteration Best: 1940, counter: 6, critical: True
Iteration 29/100, Best C_max: 1560, Current Iteration Best: 1729, counter: 7, critical: True
Iteration 30/100, Best C_max: 1560, Current Iteration Best: 1962, counter: 8, critical: True
Iteration 31/100, Best C_max: 1560, Current Iteration Best: 1865, counter: 9, critical: True
Iteration 32/100, Best C_max: 1560, Current Iteration Best: 1861, counter: 10, critical: True
Iteration 33/100, Best C_max: 1560, Current Iteration Best: 1774, counter: 1, critical: False
Iteration 34/100, Best C_max: 1560, Current Iteration Best: 2044, counter: 2, critical: False
Iteration 35/100, Best C_max: 1560, Current Iteration Best: 2086, counter: 3, critical: False
Iteration 36/100, Best C_max: 1560, Current Iteration Best: 1786, counter: 4, critical: False
Iteration 37/100, Best C_max: 1537, Current Iteration Best: 1537, counter: 1, critical: False
Iteration 38/100, Best C_max: 1537, Current Iteration Best: 1537, counter: 2, critical: False
Iteration 39/100, Best C_max: 1537, Current Iteration Best: 1703, counter: 3, critical: False
Iteration 40/100, Best C_max: 1537, Current Iteration Best: 1841, counter: 4, critical: False
Iteration 41/100, Best C_max: 1537, Current Iteration Best: 1841, counter: 5, critical: False
Iteration 42/100, Best C_max: 1537, Current Iteration Best: 1861, counter: 6, critical: False
Iteration 43/100, Best C_max: 1537, Current Iteration Best: 2000, counter: 7, critical: False
Iteration 44/100, Best C_max: 1537, Current Iteration Best: 2211, counter: 8, critical: False
Iteration 45/100, Best C_max: 1537, Current Iteration Best: 2020, counter: 9, critical: False
Iteration 46/100, Best C_max: 1537, Current Iteration Best: 1935, counter: 10, critical: False
Iteration 47/100, Best C_max: 1537, Current Iteration Best: 1839, counter: 1, critical: True
Iteration 48/100, Best C_max: 1537, Current Iteration Best: 1753, counter: 2, critical: True
Iteration 49/100, Best C_max: 1537, Current Iteration Best: 1974, counter: 3, critical: True
Iteration 50/100, Best C_max: 1537, Current Iteration Best: 1666, counter: 4, critical: True
Iteration 51/100, Best C_max: 1537, Current Iteration Best: 1929, counter: 5, critical: True
Iteration 52/100, Best C_max: 1537, Current Iteration Best: 1864, counter: 6, critical: True
Iteration 53/100, Best C_max: 1537, Current Iteration Best: 1793, counter: 7, critical: True
Iteration 54/100, Best C_max: 1537, Current Iteration Best: 1795, counter: 8, critical: True
Iteration 55/100, Best C_max: 1537, Current Iteration Best: 2049, counter: 9, critical: True
Iteration 56/100, Best C_max: 1537, Current Iteration Best: 1836, counter: 10, critical: True
Iteration 57/100, Best C_max: 1537, Current Iteration Best: 1869, counter: 1, critical: False
Iteration 58/100, Best C_max: 1537, Current Iteration Best: 1976, counter: 2, critical: False
Iteration 59/100, Best C_max: 1537, Current Iteration Best: 2063, counter: 3, critical: False
Iteration 60/100, Best C_max: 1537, Current Iteration Best: 1930, counter: 4, critical: False
Iteration 61/100, Best C_max: 1537, Current Iteration Best: 2066, counter: 5, critical: False
Iteration 62/100, Best C_max: 1537, Current Iteration Best: 2175, counter: 6, critical: False
Iteration 63/100, Best C_max: 1537, Current Iteration Best: 1934, counter: 7, critical: False
Iteration 64/100, Best C_max: 1537, Current Iteration Best: 1885, counter: 8, critical: False
Iteration 65/100, Best C_max: 1537, Current Iteration Best: 1980, counter: 9, critical: False
Iteration 66/100, Best C_max: 1537, Current Iteration Best: 2104, counter: 10, critical: False
Iteration 67/100, Best C_max: 1537, Current Iteration Best: 2082, counter: 1, critical: True
Iteration 68/100, Best C_max: 1537, Current Iteration Best: 1909, counter: 2, critical: True
Iteration 69/100, Best C_max: 1537, Current Iteration Best: 2059, counter: 3, critical: True
Iteration 70/100, Best C_max: 1537, Current Iteration Best: 1883, counter: 4, critical: True
Iteration 71/100, Best C_max: 1537, Current Iteration Best: 2097, counter: 5, critical: True
Iteration 72/100, Best C_max: 1537, Current Iteration Best: 1845, counter: 6, critical: True
Iteration 73/100, Best C_max: 1537, Current Iteration Best: 2073, counter: 7, critical: True
Iteration 74/100, Best C_max: 1537, Current Iteration Best: 1847, counter: 8, critical: True
Iteration 75/100, Best C_max: 1537, Current Iteration Best: 2045, counter: 9, critical: True
Iteration 76/100, Best C_max: 1537, Current Iteration Best: 1811, counter: 10, critical: True
Iteration 77/100, Best C_max: 1537, Current Iteration Best: 1807, counter: 1, critical: False
Iteration 78/100, Best C_max: 1537, Current Iteration Best: 2070, counter: 2, critical: False
Iteration 79/100, Best C_max: 1537, Current Iteration Best: 2008, counter: 3, critical: False
Iteration 80/100, Best C_max: 1537, Current Iteration Best: 2116, counter: 4, critical: False
Iteration 81/100, Best C_max: 1537, Current Iteration Best: 2014, counter: 5, critical: False
Iteration 82/100, Best C_max: 1537, Current Iteration Best: 2107, counter: 6, critical: False
Iteration 83/100, Best C_max: 1537, Current Iteration Best: 2091, counter: 7, critical: False
Iteration 84/100, Best C_max: 1537, Current Iteration Best: 2066, counter: 8, critical: False
Iteration 85/100, Best C_max: 1537, Current Iteration Best: 1653, counter: 9, critical: False
Iteration 86/100, Best C_max: 1537, Current Iteration Best: 1675, counter: 10, critical: False
Iteration 87/100, Best C_max: 1537, Current Iteration Best: 1903, counter: 1, critical: True
Iteration 88/100, Best C_max: 1537, Current Iteration Best: 1826, counter: 2, critical: True
Iteration 89/100, Best C_max: 1537, Current Iteration Best: 1870, counter: 3, critical: True
Iteration 90/100, Best C_max: 1537, Current Iteration Best: 1875, counter: 4, critical: True
Iteration 91/100, Best C_max: 1537, Current Iteration Best: 1955, counter: 5, critical: True
Iteration 92/100, Best C_max: 1537, Current Iteration Best: 1952, counter: 6, critical: True
Iteration 93/100, Best C_max: 1537, Current Iteration Best: 1944, counter: 7, critical: True
Iteration 94/100, Best C_max: 1537, Current Iteration Best: 1832, counter: 8, critical: True
Iteration 95/100, Best C_max: 1537, Current Iteration Best: 1969, counter: 9, critical: True
Iteration 96/100, Best C_max: 1537, Current Iteration Best: 1921, counter: 10, critical: True
Iteration 97/100, Best C_max: 1537, Current Iteration Best: 1966, counter: 1, critical: False
Iteration 98/100, Best C_max: 1537, Current Iteration Best: 1918, counter: 2, critical: False
Iteration 99/100, Best C_max: 1537, Current Iteration Best: 1938, counter: 3, critical: False
Iteration 100/100, Best C_max: 1537, Current Iteration Best: 1956, counter: 4, critical: False
