[12  9  8  2  1 11  0  7  6 10  5  3  4 14 13  6  1  2  5  7  4  8  0  9
  3 14 11 13 10 12  0  4 14  5  6 13 12  7  9 11  8  3 10  1  2 12 10  4
  5 13 11  6  7  8  9 14  0  1  2  3 11 12  0 10  1  9  8  7 13  6  5  3
  2  4 14 13  4  2  8  9  6  1 10 11  7 12  5  3 14  0  7 12  3  8  2  1
  0 11 14  6 13  5  4  9 10  4  9  0 10  8  1 12 11 14 13  5  6  7  3  2
  4 10 12  1  6  9  3  5 11  8  2 13  0  7 14  0 12  6 14  5 10  3  4 11
  1  2  7  8  9 13  5  3  7 12 14 11  2 13  8  4  9  1 10  0  6  0 13  5
  9 12  1 10  7 11  6  8 14  3  2  4  0 12 13 14  3  7  4  5  6  2  8  9
 10  1 11  0  1  6 10  7 13 14 12  5  8 11  9  4  3  2  4  3 12 10  6  5
 11  7 14  8  9 13  1  2  0]
1557
Iteration 1/100, Best C_max: 1586, Current Iteration Best: 1633, counter: 2, critical: True
Iteration 2/100, Best C_max: 1586, Current Iteration Best: 1607, counter: 3, critical: True
Iteration 3/100, Best C_max: 1576, Current Iteration Best: 1576, counter: 1, critical: True
Iteration 4/100, Best C_max: 1576, Current Iteration Best: 1596, counter: 2, critical: True
Iteration 5/100, Best C_max: 1574, Current Iteration Best: 1574, counter: 1, critical: True
Iteration 6/100, Best C_max: 1574, Current Iteration Best: 1598, counter: 2, critical: True
Iteration 7/100, Best C_max: 1574, Current Iteration Best: 1615, counter: 3, critical: True
Iteration 8/100, Best C_max: 1574, Current Iteration Best: 1588, counter: 4, critical: True
Iteration 9/100, Best C_max: 1574, Current Iteration Best: 1623, counter: 5, critical: True
Iteration 10/100, Best C_max: 1557, Current Iteration Best: 1557, counter: 1, critical: True
Iteration 11/100, Best C_max: 1557, Current Iteration Best: 1624, counter: 2, critical: True
Iteration 12/100, Best C_max: 1557, Current Iteration Best: 1617, counter: 3, critical: True
Iteration 13/100, Best C_max: 1557, Current Iteration Best: 1644, counter: 4, critical: True
Iteration 14/100, Best C_max: 1557, Current Iteration Best: 1653, counter: 5, critical: True
Iteration 15/100, Best C_max: 1557, Current Iteration Best: 1624, counter: 6, critical: True
Iteration 16/100, Best C_max: 1557, Current Iteration Best: 1613, counter: 7, critical: True
Iteration 17/100, Best C_max: 1557, Current Iteration Best: 1596, counter: 8, critical: True
Iteration 18/100, Best C_max: 1557, Current Iteration Best: 1608, counter: 9, critical: True
Iteration 19/100, Best C_max: 1557, Current Iteration Best: 1636, counter: 10, critical: True
Iteration 20/100, Best C_max: 1557, Current Iteration Best: 1638, counter: 1, critical: False
Iteration 21/100, Best C_max: 1557, Current Iteration Best: 2053, counter: 2, critical: False
Iteration 22/100, Best C_max: 1557, Current Iteration Best: 1936, counter: 3, critical: False
