[ 7 12  0  4  1  5 10  9 13  2  6 14  8  3 11 10  1 12  3  4 14  2  7  8
  0  5  6  9 13 11 14  4  6  9  8  5  3  7 11 10  0 13 12  1  2 11  7  0
  6  8 13  5  1  4  9 14 10 12  3  2 14  1  3  5 13 10  0  9 11  6  4  7
  2 12  8 13 14  0  6  7  5  8  9 12 10  2  4  3  1 11  9 10  1 13  2  7
  6 12 14  4  8 11  3  0  5 11 12 10  9 13  8  6  7  4  1  2  5 14  0  3
  9  4 12  1  5 11  3 10  0  6  8 14  7 13  2  9 14  1 13  3  0  7 11 12
  5  8  4  6 10  2 10  3 14 11  4  2  5  9 12  7  1  0  8 13  6  2  1 14
 12 13  0  3  7  8  6 10 11  9  4  5  5  7  0  6  1  8  9 12 13 11  4  2
  3 14 10  7  6 11  0 13 12  4 14  2  1  5 10  9  8  3  7 12 11 10  9  8
  6  5  4  3  2  1  0 13 14]
1564
Iteration 1/333, Best C_max: 1639, Current Iteration Best: 1639, counter: 1, critical: True
Iteration 2/333, Best C_max: 1613, Current Iteration Best: 1613, counter: 1, critical: True
Iteration 3/333, Best C_max: 1577, Current Iteration Best: 1577, counter: 1, critical: True
Iteration 4/333, Best C_max: 1577, Current Iteration Best: 1630, counter: 2, critical: True
Iteration 5/333, Best C_max: 1577, Current Iteration Best: 1598, counter: 3, critical: True
Iteration 6/333, Best C_max: 1577, Current Iteration Best: 1610, counter: 4, critical: True
Iteration 7/333, Best C_max: 1577, Current Iteration Best: 1623, counter: 5, critical: True
Iteration 8/333, Best C_max: 1577, Current Iteration Best: 1608, counter: 6, critical: True
Iteration 9/333, Best C_max: 1577, Current Iteration Best: 1605, counter: 7, critical: True
Iteration 10/333, Best C_max: 1577, Current Iteration Best: 1623, counter: 8, critical: True
Iteration 11/333, Best C_max: 1577, Current Iteration Best: 1653, counter: 9, critical: True
Iteration 12/333, Best C_max: 1577, Current Iteration Best: 1653, counter: 10, critical: True
Iteration 13/333, Best C_max: 1564, Current Iteration Best: 1564, counter: 1, critical: True
Iteration 14/333, Best C_max: 1564, Current Iteration Best: 1601, counter: 2, critical: True
Iteration 15/333, Best C_max: 1564, Current Iteration Best: 1617, counter: 3, critical: True
Iteration 16/333, Best C_max: 1564, Current Iteration Best: 1588, counter: 4, critical: True
Iteration 17/333, Best C_max: 1564, Current Iteration Best: 1596, counter: 5, critical: True
Iteration 18/333, Best C_max: 1564, Current Iteration Best: 1626, counter: 6, critical: True
Iteration 19/333, Best C_max: 1564, Current Iteration Best: 1588, counter: 7, critical: True
Iteration 20/333, Best C_max: 1564, Current Iteration Best: 1628, counter: 8, critical: True
Iteration 21/333, Best C_max: 1564, Current Iteration Best: 1661, counter: 9, critical: True
Iteration 22/333, Best C_max: 1564, Current Iteration Best: 1618, counter: 10, critical: True
Iteration 23/333, Best C_max: 1564, Current Iteration Best: 1587, counter: 1, critical: False
Iteration 24/333, Best C_max: 1564, Current Iteration Best: 2035, counter: 2, critical: False
Iteration 25/333, Best C_max: 1564, Current Iteration Best: 1890, counter: 3, critical: False
Iteration 26/333, Best C_max: 1564, Current Iteration Best: 2234, counter: 4, critical: False
Iteration 27/333, Best C_max: 1564, Current Iteration Best: 2109, counter: 5, critical: False
Iteration 28/333, Best C_max: 1564, Current Iteration Best: 2181, counter: 6, critical: False
Iteration 29/333, Best C_max: 1564, Current Iteration Best: 1941, counter: 7, critical: False
Iteration 30/333, Best C_max: 1564, Current Iteration Best: 1852, counter: 8, critical: False
Iteration 31/333, Best C_max: 1564, Current Iteration Best: 1774, counter: 9, critical: False
Iteration 32/333, Best C_max: 1564, Current Iteration Best: 1992, counter: 10, critical: False
Iteration 33/333, Best C_max: 1564, Current Iteration Best: 1843, counter: 1, critical: True
Iteration 34/333, Best C_max: 1564, Current Iteration Best: 1998, counter: 2, critical: True
Iteration 35/333, Best C_max: 1564, Current Iteration Best: 1745, counter: 3, critical: True
Iteration 36/333, Best C_max: 1564, Current Iteration Best: 1912, counter: 4, critical: True
Iteration 37/333, Best C_max: 1564, Current Iteration Best: 1787, counter: 5, critical: True
Iteration 38/333, Best C_max: 1564, Current Iteration Best: 1885, counter: 6, critical: True
Iteration 39/333, Best C_max: 1564, Current Iteration Best: 1923, counter: 7, critical: True
Iteration 40/333, Best C_max: 1564, Current Iteration Best: 1887, counter: 8, critical: True
Iteration 41/333, Best C_max: 1564, Current Iteration Best: 1904, counter: 9, critical: True
Iteration 42/333, Best C_max: 1564, Current Iteration Best: 1845, counter: 10, critical: True
Iteration 43/333, Best C_max: 1564, Current Iteration Best: 1856, counter: 1, critical: False
Iteration 44/333, Best C_max: 1564, Current Iteration Best: 1973, counter: 2, critical: False
Iteration 45/333, Best C_max: 1564, Current Iteration Best: 2261, counter: 3, critical: False
Iteration 46/333, Best C_max: 1564, Current Iteration Best: 2209, counter: 4, critical: False
Iteration 47/333, Best C_max: 1564, Current Iteration Best: 1860, counter: 5, critical: False
Iteration 48/333, Best C_max: 1564, Current Iteration Best: 2045, counter: 6, critical: False
Iteration 49/333, Best C_max: 1564, Current Iteration Best: 2052, counter: 7, critical: False
Iteration 50/333, Best C_max: 1564, Current Iteration Best: 1965, counter: 8, critical: False
Iteration 51/333, Best C_max: 1564, Current Iteration Best: 2155, counter: 9, critical: False
Iteration 52/333, Best C_max: 1564, Current Iteration Best: 1946, counter: 10, critical: False
Iteration 53/333, Best C_max: 1564, Current Iteration Best: 2087, counter: 1, critical: True
Iteration 54/333, Best C_max: 1564, Current Iteration Best: 2028, counter: 2, critical: True
Iteration 55/333, Best C_max: 1564, Current Iteration Best: 2176, counter: 3, critical: True
Iteration 56/333, Best C_max: 1564, Current Iteration Best: 1947, counter: 4, critical: True
Iteration 57/333, Best C_max: 1564, Current Iteration Best: 2138, counter: 5, critical: True
Iteration 58/333, Best C_max: 1564, Current Iteration Best: 1786, counter: 6, critical: True
Iteration 59/333, Best C_max: 1564, Current Iteration Best: 2104, counter: 7, critical: True
Iteration 60/333, Best C_max: 1564, Current Iteration Best: 2027, counter: 8, critical: True
Iteration 61/333, Best C_max: 1564, Current Iteration Best: 2166, counter: 9, critical: True
Iteration 62/333, Best C_max: 1564, Current Iteration Best: 1972, counter: 10, critical: True
Iteration 63/333, Best C_max: 1564, Current Iteration Best: 2156, counter: 1, critical: False
Iteration 64/333, Best C_max: 1564, Current Iteration Best: 2150, counter: 2, critical: False
Iteration 65/333, Best C_max: 1564, Current Iteration Best: 2164, counter: 3, critical: False
Iteration 66/333, Best C_max: 1564, Current Iteration Best: 2132, counter: 4, critical: False
Iteration 67/333, Best C_max: 1564, Current Iteration Best: 1981, counter: 5, critical: False
Iteration 68/333, Best C_max: 1564, Current Iteration Best: 1731, counter: 6, critical: False
Iteration 69/333, Best C_max: 1564, Current Iteration Best: 1564, counter: 7, critical: False
Iteration 70/333, Best C_max: 1564, Current Iteration Best: 1564, counter: 8, critical: False
Iteration 71/333, Best C_max: 1564, Current Iteration Best: 2067, counter: 9, critical: False
Iteration 72/333, Best C_max: 1564, Current Iteration Best: 2055, counter: 10, critical: False
Iteration 73/333, Best C_max: 1564, Current Iteration Best: 1888, counter: 1, critical: True
Iteration 74/333, Best C_max: 1564, Current Iteration Best: 1777, counter: 2, critical: True
Iteration 75/333, Best C_max: 1564, Current Iteration Best: 1944, counter: 3, critical: True
Iteration 76/333, Best C_max: 1564, Current Iteration Best: 1898, counter: 4, critical: True
Iteration 77/333, Best C_max: 1564, Current Iteration Best: 1912, counter: 5, critical: True
Iteration 78/333, Best C_max: 1564, Current Iteration Best: 1707, counter: 6, critical: True
Iteration 79/333, Best C_max: 1564, Current Iteration Best: 1819, counter: 7, critical: True
Iteration 80/333, Best C_max: 1564, Current Iteration Best: 1870, counter: 8, critical: True
Iteration 81/333, Best C_max: 1564, Current Iteration Best: 1837, counter: 9, critical: True
Iteration 82/333, Best C_max: 1564, Current Iteration Best: 1668, counter: 10, critical: True
Iteration 83/333, Best C_max: 1564, Current Iteration Best: 1880, counter: 1, critical: False
Iteration 84/333, Best C_max: 1564, Current Iteration Best: 2172, counter: 2, critical: False
Iteration 85/333, Best C_max: 1564, Current Iteration Best: 2039, counter: 3, critical: False
Iteration 86/333, Best C_max: 1564, Current Iteration Best: 1983, counter: 4, critical: False
Iteration 87/333, Best C_max: 1564, Current Iteration Best: 1870, counter: 5, critical: False
Iteration 88/333, Best C_max: 1564, Current Iteration Best: 1962, counter: 6, critical: False
Iteration 89/333, Best C_max: 1564, Current Iteration Best: 1746, counter: 7, critical: False
Iteration 90/333, Best C_max: 1564, Current Iteration Best: 1917, counter: 8, critical: False
Iteration 91/333, Best C_max: 1564, Current Iteration Best: 2038, counter: 9, critical: False
Iteration 92/333, Best C_max: 1564, Current Iteration Best: 1855, counter: 10, critical: False
Iteration 93/333, Best C_max: 1564, Current Iteration Best: 1658, counter: 1, critical: True
Iteration 94/333, Best C_max: 1564, Current Iteration Best: 1790, counter: 2, critical: True
Iteration 95/333, Best C_max: 1564, Current Iteration Best: 1745, counter: 3, critical: True
Iteration 96/333, Best C_max: 1564, Current Iteration Best: 1784, counter: 4, critical: True
Iteration 97/333, Best C_max: 1564, Current Iteration Best: 1776, counter: 5, critical: True
Iteration 98/333, Best C_max: 1564, Current Iteration Best: 1671, counter: 6, critical: True
