[28, 14, 1, 3, 6, 13, 22, 11, 15, 29, 18, 19, 10, 9, 12, 24, 0, 16, 3, 17, 2, 26, 7, 21, 27, 25, 4, 22, 20, 6, 2, 5, 17, 15, 21, 9, 18, 7, 8, 19, 13, 22, 1, 6, 20, 10, 25, 16, 28, 14, 4, 23, 24, 26, 12, 3, 27, 11, 0, 29, 19, 9, 6, 26, 13, 3, 10, 1, 28, 8, 20, 8, 5, 14, 11, 18, 12, 27, 24, 29, 2, 15, 21, 5, 22, 22, 0, 17, 16, 25, 23, 1, 17, 26, 28, 25, 13, 24, 6, 21, 15, 8, 5, 12, 27, 11, 3, 7, 14, 22, 19, 10, 4, 9, 16, 18, 0, 20, 29, 2, 21, 0, 26, 3, 27, 23, 14, 7, 24, 4, 18, 20, 16, 2, 5, 22, 15, 11, 6, 10, 17, 28, 19, 12, 29, 25, 13, 9, 1, 8, 7, 28, 8, 11, 4, 25, 22, 17, 9, 16, 29, 12, 26, 15, 18, 14, 23, 13, 19, 24, 21, 2, 0, 5, 6, 3, 19, 10, 1, 27, 22, 14, 23, 13, 24, 15, 7, 29, 17, 6, 10, 3, 27, 11, 1, 21, 26, 28, 4, 20, 5, 8, 12, 2, 9, 18, 25, 0, 19, 16, 16, 27, 11, 24, 17, 22, 13, 15, 29, 8, 25, 0, 12, 9, 1, 19, 2, 18, 4, 28, 3, 21, 5, 23, 10, 14, 7, 20, 26, 6, 8, 17, 20, 14, 7, 21, 22, 16, 9, 4, 18, 6, 0, 19, 2, 12, 29, 1, 26, 11, 25, 13, 10, 5, 23, 23, 3, 15, 27, 28, 20, 10, 19, 1, 28, 26, 4, 3, 22, 23, 18, 17, 6, 24, 13, 9, 11, 15, 5, 29, 7, 27, 12, 0, 16, 21, 8, 14, 2, 25, 20, 14, 22, 1, 2, 28, 4, 6, 8, 7, 12, 24, 15, 11, 10, 26, 21, 25, 27, 23, 29, 0, 13, 15, 5, 18, 9, 19, 17, 4, 8, 7, 23, 17, 27, 18, 21, 1, 13, 15, 5, 20, 24, 3, 9, 4, 6, 29, 12, 28, 2, 11, 25, 22, 10, 0, 26, 19, 16, 14, 28, 12, 3, 10, 13, 14, 6, 29, 0, 23, 17, 1, 15, 19, 8, 20, 18, 22, 26, 9, 7, 4, 21, 24, 27, 16, 25, 5, 2, 11, 21, 9, 5, 24, 10, 18, 0, 2, 11, 25, 16, 7, 1, 26, 7, 29, 28, 20, 19, 23, 17, 15, 27, 23, 14, 13, 12, 3, 8, 4, 29, 0, 1, 21, 5, 6, 27, 20, 9, 18, 25, 17, 16, 16, 13, 20, 23, 24, 24, 12, 28, 11, 2, 26, 3, 4, 8, 7, 14, 10]
2463
Iteration 1/333, Best C_max: 2542, Current Iteration Best: 2657, counter: 2, critical: True
Iteration 2/333, Best C_max: 2505, Current Iteration Best: 2505, counter: 1, critical: True
Iteration 3/333, Best C_max: 2505, Current Iteration Best: 2562, counter: 2, critical: True
Iteration 4/333, Best C_max: 2488, Current Iteration Best: 2488, counter: 1, critical: True
Iteration 5/333, Best C_max: 2488, Current Iteration Best: 2651, counter: 2, critical: True
Iteration 6/333, Best C_max: 2488, Current Iteration Best: 2526, counter: 3, critical: True
Iteration 7/333, Best C_max: 2488, Current Iteration Best: 2692, counter: 4, critical: True
Iteration 8/333, Best C_max: 2488, Current Iteration Best: 2559, counter: 5, critical: True
Iteration 9/333, Best C_max: 2488, Current Iteration Best: 2655, counter: 6, critical: True
Iteration 10/333, Best C_max: 2483, Current Iteration Best: 2483, counter: 1, critical: True
Iteration 11/333, Best C_max: 2483, Current Iteration Best: 2661, counter: 2, critical: True
Iteration 12/333, Best C_max: 2483, Current Iteration Best: 2555, counter: 3, critical: True
Iteration 13/333, Best C_max: 2483, Current Iteration Best: 2668, counter: 4, critical: True
Iteration 14/333, Best C_max: 2483, Current Iteration Best: 2556, counter: 5, critical: True
Iteration 15/333, Best C_max: 2483, Current Iteration Best: 2672, counter: 6, critical: True
Iteration 16/333, Best C_max: 2483, Current Iteration Best: 2545, counter: 7, critical: True
Iteration 17/333, Best C_max: 2483, Current Iteration Best: 2647, counter: 8, critical: True
Iteration 18/333, Best C_max: 2483, Current Iteration Best: 2533, counter: 9, critical: True
Iteration 19/333, Best C_max: 2483, Current Iteration Best: 2816, counter: 10, critical: True
Iteration 20/333, Best C_max: 2483, Current Iteration Best: 2486, counter: 1, critical: False
Iteration 21/333, Best C_max: 2483, Current Iteration Best: 3229, counter: 2, critical: False
Iteration 22/333, Best C_max: 2483, Current Iteration Best: 3207, counter: 3, critical: False
Iteration 23/333, Best C_max: 2483, Current Iteration Best: 3138, counter: 4, critical: False
Iteration 24/333, Best C_max: 2483, Current Iteration Best: 3149, counter: 5, critical: False
Iteration 25/333, Best C_max: 2483, Current Iteration Best: 3105, counter: 6, critical: False
Iteration 26/333, Best C_max: 2483, Current Iteration Best: 2718, counter: 7, critical: False
Iteration 27/333, Best C_max: 2483, Current Iteration Best: 2835, counter: 8, critical: False
Iteration 28/333, Best C_max: 2483, Current Iteration Best: 3010, counter: 9, critical: False
Iteration 29/333, Best C_max: 2483, Current Iteration Best: 2992, counter: 10, critical: False
Iteration 30/333, Best C_max: 2483, Current Iteration Best: 3094, counter: 1, critical: True
Iteration 31/333, Best C_max: 2483, Current Iteration Best: 3072, counter: 2, critical: True
Iteration 32/333, Best C_max: 2483, Current Iteration Best: 3026, counter: 3, critical: True
Iteration 33/333, Best C_max: 2483, Current Iteration Best: 3053, counter: 4, critical: True
