[44, 18, 35, 10, 49, 5, 21, 43, 31, 32, 38, 41, 9, 26, 40, 28, 12, 7, 48, 27, 19, 45, 33, 20, 6, 34, 2, 0, 14, 36, 47, 30, 24, 22, 15, 25, 46, 16, 17, 11, 42, 3, 8, 1, 23, 39, 13, 4, 29, 37, 9, 39, 13, 32, 28, 38, 29, 23, 35, 16, 25, 24, 17, 14, 46, 2, 48, 27, 19, 31, 44, 36, 0, 40, 30, 1, 10, 41, 6, 43, 11, 5, 4, 3, 18, 8, 33, 49, 26, 22, 47, 15, 42, 20, 21, 34, 12, 37, 45, 7, 32, 27, 13, 38, 21, 16, 3, 24, 12, 2, 37, 9, 15, 25, 34, 5, 17, 44, 46, 14, 45, 7, 31, 49, 20, 11, 30, 28, 8, 36, 6, 1, 43, 48, 47, 19, 29, 0, 18, 10, 42, 22, 41, 4, 40, 23, 26, 35, 39, 33, 0, 30, 20, 46, 22, 45, 39, 21, 32, 3, 49, 12, 36, 48, 14, 25, 4, 38, 47, 8, 26, 17, 43, 13, 1, 5, 24, 2, 18, 28, 34, 23, 15, 40, 9, 29, 19, 33, 37, 7, 31, 27, 10, 16, 35, 42, 6, 11, 44, 41, 0, 1, 20, 7, 33, 29, 18, 27, 11, 35, 40, 10, 17, 47, 25, 16, 49, 44, 8, 2, 24, 26, 12, 19, 32, 41, 38, 34, 15, 43, 22, 42, 46, 31, 3, 6, 30, 4, 23, 39, 37, 13, 9, 21, 14, 48, 28, 36, 45, 5, 38, 32, 9, 0, 10, 16, 25, 14, 12, 23, 6, 33, 37, 8, 47, 13, 3, 40, 44, 5, 4, 34, 28, 1, 43, 2, 35, 30, 36, 21, 31, 27, 19, 45, 48, 22, 49, 41, 15, 24, 46, 7, 42, 26, 18, 39, 17, 11, 29, 20, 26, 36, 6, 1, 29, 38, 46, 25, 19, 49, 10, 12, 3, 43, 41, 24, 34, 4, 45, 2, 30, 39, 5, 32, 20, 15, 33, 11, 48, 27, 17, 18, 0, 13, 28, 9, 44, 21, 23, 35, 8, 37, 14, 16, 7, 31, 22, 40, 42, 47, 15, 12, 43, 1, 32, 39, 28, 18, 37, 27, 24, 23, 40, 34, 9, 7, 41, 19, 49, 2, 13, 33, 46, 26, 6, 35, 45, 22, 36, 0, 8, 25, 29, 4, 14, 48, 10, 47, 17, 16, 3, 31, 44, 11, 21, 30, 38, 42, 20, 5, 7, 11, 21, 9, 31, 10, 37, 41, 8, 39, 22, 36, 42, 6, 12, 19, 26, 48, 23, 3, 25, 45, 30, 38, 49, 14, 24, 40, 44, 1, 33, 2, 43, 20, 17, 13, 35, 47, 18, 5, 16, 4, 29, 32, 28, 34, 0, 15, 46, 27, 36, 32, 2, 45, 10, 15, 46, 11, 41, 27, 49, 33, 1, 4, 18, 14, 31, 28, 12, 38, 16, 19, 34, 17, 22, 3, 43, 25, 42, 47, 7, 29, 6, 44, 48, 9, 39, 20, 37, 13, 0, 24, 5, 26, 23, 8, 40, 21, 35, 30, 22, 10, 18, 36, 24, 25, 14, 3, 15, 35, 31, 9, 49, 32, 43, 48, 37, 29, 40, 6, 7, 8, 4, 13, 38, 46, 17, 1, 11, 28, 23, 39, 21, 45, 5, 19, 12, 34, 42, 26, 27, 44, 41, 33, 20, 16, 0, 2, 47, 30, 37, 45, 18, 31, 32, 15, 27, 33, 49, 42, 46, 35, 1, 7, 17, 44, 22, 20, 3, 34, 4, 8, 13, 19, 41, 24, 38, 12, 40, 14, 6, 0, 2, 9, 30, 16, 47, 26, 10, 25, 48, 29, 21, 11, 23, 36, 28, 39, 43, 5, 9, 3, 25, 18, 43, 5, 39, 15, 42, 11, 14, 37, 32, 1, 41, 33, 17, 26, 38, 31, 20, 46, 30, 2, 13, 49, 35, 4, 12, 44, 7, 27, 36, 10, 47, 28, 40, 29, 22, 48, 19, 0, 34, 16, 21, 8, 6, 45, 24, 23, 29, 21, 15, 0, 11, 37, 38, 22, 10, 1, 24, 34, 27, 35, 28, 19, 13, 20, 6, 14, 47, 46, 17, 12, 26, 41, 3, 30, 33, 31, 48, 8, 5, 40, 36, 49, 9, 23, 43, 25, 16, 32, 42, 4, 44, 45, 39, 18, 7, 2, 12, 37, 15, 18, 46, 16, 22, 48, 4, 32, 21, 1, 6, 33, 43, 3, 38, 19, 44, 9, 35, 28, 14, 7, 24, 49, 8, 42, 45, 26, 40, 47, 10, 36, 27, 2, 41, 29, 34, 39, 11, 17, 0, 5, 20, 30, 13, 23, 31, 25]
3591
Iteration 1/30, Best C_max: 3591, Current Iteration Best: 4074, counter: 2, critical: True
Iteration 2/30, Best C_max: 3591, Current Iteration Best: 3648, counter: 3, critical: True
Iteration 3/30, Best C_max: 3591, Current Iteration Best: 4074, counter: 4, critical: True
Iteration 4/30, Best C_max: 3591, Current Iteration Best: 3668, counter: 5, critical: True
Iteration 5/30, Best C_max: 3591, Current Iteration Best: 3982, counter: 6, critical: True
Iteration 6/30, Best C_max: 3591, Current Iteration Best: 3771, counter: 7, critical: True
Iteration 7/30, Best C_max: 3591, Current Iteration Best: 4149, counter: 8, critical: True
Iteration 8/30, Best C_max: 3591, Current Iteration Best: 3689, counter: 9, critical: True
Iteration 9/30, Best C_max: 3591, Current Iteration Best: 3994, counter: 10, critical: True
Iteration 10/30, Best C_max: 3591, Current Iteration Best: 3671, counter: 1, critical: False
Iteration 11/30, Best C_max: 3591, Current Iteration Best: 4651, counter: 2, critical: False
Iteration 12/30, Best C_max: 3591, Current Iteration Best: 4940, counter: 3, critical: False
Iteration 13/30, Best C_max: 3591, Current Iteration Best: 4827, counter: 4, critical: False
Iteration 14/30, Best C_max: 3591, Current Iteration Best: 4658, counter: 5, critical: False
Iteration 15/30, Best C_max: 3591, Current Iteration Best: 4736, counter: 6, critical: False
Iteration 16/30, Best C_max: 3591, Current Iteration Best: 4681, counter: 7, critical: False
Iteration 17/30, Best C_max: 3591, Current Iteration Best: 4539, counter: 8, critical: False
Iteration 18/30, Best C_max: 3591, Current Iteration Best: 4886, counter: 9, critical: False
Iteration 19/30, Best C_max: 3591, Current Iteration Best: 4846, counter: 10, critical: False
Iteration 20/30, Best C_max: 3591, Current Iteration Best: 4373, counter: 1, critical: True
Iteration 21/30, Best C_max: 3591, Current Iteration Best: 4434, counter: 2, critical: True
Iteration 22/30, Best C_max: 3591, Current Iteration Best: 4469, counter: 3, critical: True
Iteration 23/30, Best C_max: 3591, Current Iteration Best: 4392, counter: 4, critical: True
Iteration 24/30, Best C_max: 3591, Current Iteration Best: 4531, counter: 5, critical: True
Iteration 25/30, Best C_max: 3591, Current Iteration Best: 4371, counter: 6, critical: True
Iteration 26/30, Best C_max: 3591, Current Iteration Best: 4451, counter: 7, critical: True
Iteration 27/30, Best C_max: 3591, Current Iteration Best: 4420, counter: 8, critical: True
Iteration 28/30, Best C_max: 3591, Current Iteration Best: 4320, counter: 9, critical: True
Iteration 29/30, Best C_max: 3591, Current Iteration Best: 4418, counter: 10, critical: True
Iteration 30/30, Best C_max: 3591, Current Iteration Best: 4427, counter: 1, critical: False
